45,939630,2302920
245,939435,2304790
76,939630,2302920
158,938835,2304185
28,939900,2303155
16,939350,2302865
194,938030,2303085
85,939695,2302960
133,938825,2303220
108,938280,2303205
197,937860,2301250
131,939300,2302480
44,938280,2303205
244,938340,2303230
352,940585,2297430
191,938665,2305035
343,938105,2303490
195,939880,2303040
269,938240,2302055
292,938440,2303165
326,938470,2303080
59,939035,2304575
72,940235,2300275
193,938440,2302755
196,940650,2303140
115,938955,2304570
186,939335,2303775
135,937885,2300905
106,938830,2304625
286,938360,2301865
322,940240,2300760
172,940615,2302695
91,937860,2301250
56,939405,2302765
278,938580,2302430
136,939280,2303925
334,937920,2302630
97,939725,2304455
378,939500,2302045
68,939085,2304255
267,938470,2303080
21,937765,2301035
316,940120,2300560
155,939635,2303085
341,938570,2302975
23,939860,2303020
79,939920,2299630
64,939565,2302610
163,939375,2303690
272,938240,2302055
256,938360,2301865
237,942880,2305515
201,938030,2303085
36,939980,2303100
147,939855,2299595
57,940650,2303140
30,940100,2303000
99,937985,2300950
266,938760,2302325
229,938580,2302920
171,939560,2302570
88,940100,2303000
182,938350,2301875
5,938615,2304230
321,939190,2304290
365,939750,2304585
302,938785,2303745
62,940615,2302695
69,938950,2302620
100,939210,2304060
349,944190,2299925
355,938440,2303165
168,938655,2304810
82,939290,2302690
280,939930,2305085
311,937895,2303270
47,939165,2304125
114,939855,2299595
338,940675,2302865
367,938340,2303230
335,938010,2303460
141,937985,2300950
183,939770,2300510
351,938895,2301630
7,937500,2299815
1,938205,2306130
428,939585,2303020
61,940650,2303140
554,939440,2302570
90,939250,2303725
32,939855,2299595
170,941030,2303065
4,940285,2298840
339,939435,2304790
175,937675,2301055
253,943030,2305520
134,939015,2303570
159,941090,2303135
78,939515,2303550
137,939885,2303010
274,938075,2303255
226,939990,2304445
313,938420,2302405
496,939335,2302685
198,939860,2299285
120,940650,2303140
189,938160,2306315
697,939365,2302335
306,938105,2303490
263,938485,2304715
126,941085,2303255
509,939420,2303070
177,941935,2304925
401,939530,2303080
519,937675,2301055
569,939290,2302690
176,938750,2304715
363,938245,2303530
301,938570,2302155
109,941090,2303135
427,939530,2303080
561,939555,2302925
608,939250,2304720
437,938575,2301765
220,939610,2304980
500,939575,2302695
203,938615,2304230
265,941025,2303415
459,939880,2303040
38,939720,2304450
165,939245,2303995
283,938470,2303080
250,938895,2301630
17,940085,2303155
296,938245,2303530
312,938555,2302775
2,938550,2302595
8,940955,2303005
441,939545,2302870
470,939530,2303080
572,940485,2302790
364,938105,2303490
9,937070,2298890
65,938830,2304625
451,939455,2303385
325,938340,2303230
74,938655,2304810
125,938570,2305910
694,938470,2303080
506,938350,2301875
651,940455,2302765
423,939310,2302820
35,939035,2304330
95,940060,2299300
637,937920,2303360
180,938635,2304830
420,939545,2302870
160,938175,2306240
148,941335,2303535
477,939700,2303080
310,940060,2300740
357,937580,2299260
92,939910,2298765
144,939825,2300475
478,939515,2303550
636,939850,2304380
169,939860,2299645
227,938420,2302405
445,937675,2301055
299,938055,2303325
214,938030,2303390
639,938245,2302505
617,938555,2302775
542,939715,2302510
239,939295,2305415
442,937860,2301250
210,940060,2300740
3,939270,2302555
358,938480,2302970
545,940650,2303140
591,939990,2304445
150,938895,2304530
246,940240,2300760
119,938550,2302595
43,938165,2306395
219,938975,2302295
522,939555,2302925
549,937660,2300745
254,937905,2304780
690,938570,2302975
13,938355,2305425
704,938800,2303540
10,937070,2298890
613,941025,2303415
208,937795,2302590
34,939060,2300985
240,938360,2301865
129,938215,2305795
590,938245,2303530
419,939035,2304330
213,939825,2302530
154,938895,2304530
